Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment,Carbon Performance Alignment Year,Previous Carbon Performance Alignment,Previous Carbon Performance Alignment Year,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
Arkema,France,FRA,Chemicals,No,medium,FR0010313833,B0Z5YZ2,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asahi Kasei,Japan,JPN,Chemicals,No,large,JP3111200006,6054603,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Cement,Taiwan,TWN,Cement,No,large,TW0001102002,6056331,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,0.792,0.803,0.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Astra International,Indonesia,IDN,Coal Mining,No,large,ID1000122807,B800MQ5,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azul,Brazil,BRA,Airlines,No,medium,BRAZULACNPR4,BD97PR4,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/12/2020,23/10/2020,Airlines_01/12/2020,Not Aligned,,Not Aligned,,2019,Carbon intensity (gCO2 / RTK),,,,,1203.0,1137.0,1040.0,1005.0,970.0,935.0,900.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
BASF,Germany,DEU,Chemicals,Yes,large,DE000BASF111,"5086577, 0083142, 5086599",01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBMG,China,CHN,Cement,No,medium,"CNE100000F20, CNE1000010M4","B3NFC51, B3NBFQ1, BP3R5N0",01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,No or unsuitable disclosure,,,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
BHP (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,not found,not found,01/11/2021,31/03/2021,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHP (Diversified mining),United Kingdom,GBR,Diversified Mining,Yes,large,not found,not found,01/11/2021,31/03/2021,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/11/2021,05/08/2021,Diversified Mining_01/11/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,60.84833508,56.50361783,56.66119036,58.46539456,58.48450359,58.50361262,58.40611343,58.30861424,58.21111505,58.11361586,58.01611667,57.91861748,57.82111829,57.7236191,57.65886269,57.59410629,57.52934988,57.46459348,57.39983707,57.33508066,57.27032426,57.20556785,57.14081145,57.07605504,57.01129864,56.94654223,56.88178583,56.81702942,56.75227301,56.68751661,56.6227602,56.5580038,56.49324739,56.42849099,56.36373458,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intenisty. The company's target covers a subset of Scope 1, 2 and 3 (use and/or processing of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
BMW,Germany,DEU,Autos,Yes,large,"DE0005190003, DE0005190037","5756029, 5756030",01/11/2021,31/03/2021,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,01/12/2020,23/10/2020,Autos_01/12/2020,Paris Pledges,2026,Not Aligned,,2019,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),159.0,152.0,147.0,144.0,143.0,141.0,141.0,136.0,131.0,126.0,120.0,115.0,110.0,105.0,100.0,95.0,90.0,85.0,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company's Carbon Performance.
BP,United Kingdom,GBR,Oil & Gas,Yes,large,GB0007980591,798059,01/11/2021,31/03/2021,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,74.30327384,74.0338836,74.12039668,73.82503934,73.37011918,73.12195574,73.16491361,72.88501831,72.60512301,72.3252277,72.0453324,71.7654371,71.20564649,70.64585589,70.08606528,69.52627468,68.96648407,68.47666729,67.98685051,67.49703373,67.00721695,66.51740017,66.02758339,65.53776661,65.04794983,64.55813306,64.06831628,63.5784995,63.08868272,62.59886594,62.10904916,61.61923238,61.1294156,60.63959882,60.14978204,59.65996526,59.17014848,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. The company’s Scope 3 target is based on a fossil fuel equivalence approach  (see TPI’s Q&A document for a brief definition)."
BYD,China,CHN,Autos,No,large,"CNE100000296, CNE100001526","6536651, B466322, BD5CQ69",01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,01/12/2020,23/10/2020,Autos_01/12/2020,Paris Pledges,2016,,,2019,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),167.0,156.0,175.0,73.0,53.0,52.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Banpu,Thailand,THA,Coal Mining,No,medium,"TH0148A10Z06, DummyISINPU5, DummyISINPU4","BJFHBV6, BKWGX17, BKWGWJ8, BD2YHY3",01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baoshan Iron & Steel,China,CHN,Steel,No,unlisted,CNE0000015R4,"6307954, BP3R2Y0",01/11/2021,31/03/2021,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayer,Germany,DEU,Services,Yes,large,DE000BAY0017,"5069211, 5069459",01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Hathaway (Electricity Utility),United States of America,USA,Electricity Utilities,No,large,"US0846701086, US0846707026","2093666, 2073390",01/11/2021,31/03/2021,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,0.58,0.572,0.54,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
Berkshire Hathaway (Services),United States of America,USA,Services,Yes,large,"US0846701086, US0846707026","2093666, 2073390",01/11/2021,31/03/2021,1,up,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat Petroleum,India,IND,Oil & Gas,No,large,INE029A01011,6099723,01/11/2021,31/03/2021,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,,,2020,Emissions intensity (gCO2e / MJ),,74.41575926,73.95383684,74.03540702,73.81606759,74.44103475,74.31782443,73.59757434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Black Hills,United States of America,USA,Electricity Utilities,No,small,US0921131092,2101741,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,No or unsuitable disclosure,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,0.87,0.85,0.841454545,0.832909091,0.824363636,0.815818182,0.807272727,0.798727273,0.790181818,0.781636364,0.773090909,0.764545455,0.756,0.7182,0.6804,0.6426,0.6048,0.567,0.5292,0.4914,0.4536,0.4158,0.378,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Bluescope Steel,Australia,AUS,Steel,Yes,large,AU000000BSL0,6533232,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No,No,01/02/2021,23/12/2020,Steel_01/02/2021,Paris Pledges,2020,Paris Pledges,2017,2019,Carbon intensity (tonnes of CO2 per tonne of steel),2.1,2.04,1.828,1.667,1.655,1.635,1.666,1.648,1.63,1.611,1.593,1.575,1.557,1.539,1.521,1.502,1.484,1.466,,,,,,,,,,,,,,,,,,,,,TPI has assumed that the base year for this target is the latest year for which an intensity is disclosed (2019).
Boeing,United States of America,USA,Other Industrials,Yes,large,US0970231058,2108601,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boral,Australia,AUS,Cement,Yes,large,AU000000BLD2,6218670,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,No,No,Yes,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
Brenntag,Germany,DEU,Chemicals,No,medium,DE000A1DAHH0,B4YVF56,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brilliance,China,CHN,Autos,No,large,BMG1368B1028,6181482,01/11/2021,31/03/2021,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,01/12/2020,23/10/2020,Autos_01/12/2020,Not Aligned,,Not Aligned,,2019,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),174.0,171.0,168.0,161.0,152.0,143.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brilliance has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Bukit Asam,Indonesia,IDN,Coal Mining,No,medium,ID1000094006,6565127,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumi,Indonesia,IDN,Coal Mining,Yes,small,ID1000068703,6043485,01/11/2021,31/03/2021,2,up,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunge,United States of America,USA,Consumer Goods,Yes,medium,BMG169621056,2788713,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buzzi Unicem,Italy,ITA,Cement,No,medium,"IT0001347308, IT0001369427","5782206, 5782284",01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,Not Aligned,,,,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,0.656,0.653,0.644,0.639,0.637,0.617,0.596,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity and target using an emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.
CEZ,Czechia,CZE,Electricity Utilities,Yes,large,CZ0005112300,5624030,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Below 2 Degrees,2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,0.445834929,0.470771436,0.496665391,0.443119202,0.424885593,0.403363029,0.368502937,0.34680235,0.325101762,0.303401175,0.281700587,0.26,0.24,0.22,0.2,0.18,0.16,0.152,0.144,0.136,0.128,0.12,0.112,0.104,0.096,0.088,0.08,0.072,0.064,0.056,0.048,0.04,0.032,0.024,0.016,0.008,0.0,"The company discloses an emissions intensity using an activity measure and emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI notes that this company’s emissions intensity is slightly over-estimated as we calculated it using emissions from both electricity and heat generation, while using generation figures that include only electricity."
CF Industries,United States of America,USA,Chemicals,No,medium,US1252691001,B0G4K50,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK Infrastructure,Hong Kong,HKG,Electricity Utilities,No,large,BMG2178K1009,BYVS6J1,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
CLP,Hong Kong,HKG,Electricity Utilities,No,large,HK0002007356,6097017,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,Not Aligned,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.82,0.84,0.81,0.82,0.8,0.74,0.7,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses 2030, 2040, and 2050 targets using an activity measure and emissions figure that is inconsistent with TPI’s methodology for this sector. These targets include both generated and purchased electricity. TPI’s current methodology is restricted to the emissions intensity of owned generation, which cannot be reliably estimated from the disclosed targets."
CMPC,Chile,CHL,Paper,No,large,CL0000001314,2196015,01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,No,Yes,No,No,01/02/2021,23/12/2020,Paper_01/02/2021,Paris Pledges,2017,Below 2 Degrees,2017,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,0.423,0.368,0.419,0.398,0.377,0.357,0.336,0.316,0.295,0.274,0.254,0.233,0.212,0.192,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s pulp, paper and paperboard production grows according to the global growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario."
CMS Energy,United States of America,USA,Electricity Utilities,No,medium,US1258961002,2219224,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,1.5 Degrees,2040,Below 2 Degrees,2037,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.965721064,0.92498297,0.912167281,0.792918644,0.801,0.799,0.744,0.708571429,0.673142857,0.637714286,0.602285714,0.566857143,0.531428571,0.496,0.460571429,0.425142857,0.389714286,0.354285714,0.318857143,0.283428571,0.248,0.212571429,0.177142857,0.141714286,0.106285714,0.070857143,0.035428571,0.0,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
CNOOC,China,CHN,Oil & Gas,Yes,large,HK0883013259,B00G0S5,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,,,74.57587661,74.83759357,74.25527032,74.78221242,74.50871621,74.43936331,74.37001042,74.30065752,74.23130462,74.16195172,74.03984934,73.91774696,73.79564458,73.6735422,73.55143981,73.42933743,73.30723505,73.18513267,73.06303029,72.94092791,72.81882552,72.69672314,72.57462076,72.45251838,72.330416,72.20831362,72.08621124,71.96410885,71.84200647,71.71990409,71.59780171,71.47569933,71.35359695,71.23149456,71.10939218,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
COSCO Shipping Energy,China,CHN,Shipping,No,medium,"CNE1000002S8, CNE000001BD6","6782045, 6344627, BP3R9Y9",01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/12/2020,23/10/2020,Shipping_01/12/2020,International Pledges,2017,Below 2 Degrees,2017,2019,Carbon intensity (gCO2 / t-km),,,,,3.72,3.27,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
COSCO Shipping Lines,China,CHN,Shipping,No,large,"CNE1000002J7, CNE100000601","B0B8Z18, B1YQ5Q1, BP3R552",01/11/2021,31/03/2021,2,up,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Not applicable,No,No,No,No,No,No,No,01/12/2020,23/10/2020,Shipping_01/12/2020,International Pledges,2017,International Pledges,2017,2019,Carbon intensity (gCO2 / t-km),,,,,8.12,8.05,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
CRH,United Kingdom,GBR,Cement,Yes,large,IE0001827041,"0182704, 4182249",01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/02/2021,23/12/2020,Cement_01/02/2021,Below 2 Degrees,2041,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),0.633,0.624,0.573,0.578,0.572,0.595,0.59,0.584,0.577,0.571,0.565,0.558,0.552,0.545,0.539,0.533,0.526,0.52,0.494,0.468,0.442,0.416,0.39,0.364,0.338,0.312,0.286,0.26,0.234,0.208,0.182,0.156,0.13,0.104,0.078,0.052,0.026,0.0,CRH has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s Carbon Performance.
